Voltage U1	Corriente IA
U1/V	IA/nA

21,29	16,25
21,31	16,17
21,34	16,38
21,36	16,38
21,39	16,64
21,41	16,64
21,44	16,90
21,46	16,83
21,48	17,14
21,51	17,13
21,53	17,47
21,56	17,47
21,58	17,76
21,61	17,69
21,63	18,01
21,66	17,94
21,68	18,28
21,70	18,24
21,73	18,50
21,75	18,43
21,78	18,82
21,80	18,78
21,83	19,14
21,85	19,09
21,88	19,43
21,90	19,38
21,92	19,80
21,95	19,69
21,97	20,03
22,00	19,97
22,02	20,28
22,05	20,25
22,07	20,65
22,10	20,60
22,12	20,94
22,14	20,90
22,17	21,21
22,19	21,27
22,22	21,61
22,24	21,60
22,27	21,84
22,29	21,78
22,31	22,05
22,34	22,16
22,36	22,39
22,39	22,43
22,41	22,57
22,44	22,63
22,46	22,88
22,49	23,01
22,51	23,15
22,53	23,27
22,56	23,36
22,58	23,47
22,61	23,59
22,63	23,75
22,66	23,84
22,68	23,99
22,71	23,92
22,73	24,03
22,75	24,02
22,78	24,18
22,80	24,18
22,83	24,34
22,85	24,20
22,88	24,39
22,90	24,34
22,93	24,59
22,95	24,51
22,97	24,69
23,00	24,49
23,02	24,72
23,05	24,55
23,07	24,80
23,10	24,60
23,12	24,80
23,15	24,54
23,17	24,79
23,19	24,56
23,22	24,81
23,24	24,56
23,27	24,74
23,29	24,44
23,32	24,70
23,34	24,44
23,36	24,63
23,39	24,34
23,41	24,51
23,44	24,25
23,46	24,54
23,49	24,25
23,51	24,40
23,54	24,15
23,56	24,31
23,58	24,08
23,61	24,28
23,63	23,99
23,66	24,07
23,68	23,81
23,71	23,94
23,73	23,79
23,76	23,90
23,78	23,72
23,80	23,79
23,83	23,62
23,85	23,73
23,88	23,63
23,90	23,70
23,93	23,58
23,95	23,57
23,98	23,44
24,00	23,50
24,02	23,44
24,05	23,44
24,07	23,38
24,10	23,33
24,12	23,26
24,15	23,22
24,17	23,24
24,20	23,24
24,22	23,26
24,24	23,14
24,27	23,12
24,29	23,03
24,32	23,15
24,34	23,05
24,37	23,15
24,39	22,94
24,42	22,99
24,44	22,86
24,46	23,07
24,49	22,89
24,51	23,04
24,54	22,79
24,56	22,99
24,59	22,85
24,61	23,07
24,63	22,83
24,66	23,03
24,68	22,75
24,71	22,97
24,73	22,74
24,76	22,98
24,78	22,76
24,81	23,02
24,83	22,76
24,85	23,04
24,88	22,79
24,90	23,02
24,93	22,83
24,95	23,04
24,98	22,76
25,00	23,09
25,03	22,85
25,05	23,12
25,07	22,92
25,10	23,09
25,12	22,90
25,15	23,19
25,17	22,96
25,20	23,17
25,22	22,98
25,25	23,20
25,27	23,16
25,29	23,45
25,32	23,37
25,34	23,56
25,37	23,45
25,39	23,68
25,42	23,64
25,44	23,82
25,47	23,78
25,49	23,89
25,51	23,86
25,54	24,07
25,56	24,12
25,59	24,34
25,61	24,37
25,64	24,48
25,66	24,54
25,68	24,68
25,71	24,82
25,73	24,95
25,76	25,04
25,78	25,07
25,81	25,15
25,83	25,21
25,86	25,42
25,88	25,49
25,90	25,69
25,93	25,67
25,95	25,88
25,98	25,95
26,00	26,30
26,03	26,35
26,05	26,65
26,08	26,63
26,10	26,97
26,12	27,00
26,15	27,35
26,17	27,33
26,20	27,66
26,22	27,55
26,25	27,93
26,27	27,89
26,30	28,34
26,32	28,35
26,34	28,77
26,37	28,70
26,39	29,23
26,42	29,22
26,44	29,74
26,47	29,72
26,49	30,16
26,52	30,07
26,54	30,63
26,56	30,57
26,59	31,06
26,61	31,05
26,64	31,52
26,66	31,55
26,69	32,19
26,71	32,22
26,73	32,79
26,76	32,86
26,78	33,39
26,81	33,56
26,83	34,11
26,86	34,15
26,88	34,58
26,91	34,59
26,93	35,04
26,95	35,17
26,98	35,59
27,00	35,78
27,03	36,17
27,05	36,34
27,08	36,80
27,10	37,04
27,13	37,51
27,15	37,72
27,17	37,98
27,20	38,15
27,22	38,46
27,25	38,67
27,27	38,97
27,30	39,11
27,32	39,31
27,35	39,48
27,37	39,71
27,39	40,00
27,42	40,21
27,44	40,44
27,47	40,49
27,49	40,66
27,52	40,75
27,54	41,04
27,57	41,10
27,59	41,32
27,61	41,22
27,64	41,42
27,66	41,39
27,69	41,67
27,71	41,58
27,74	41,77
27,76	41,56
27,78	41,81
27,81	41,68
27,83	41,98
27,86	41,84
27,88	42,07
27,91	41,81
27,93	42,11
27,96	41,85
27,98	42,12
28,00	41,83
28,03	41,97
28,05	41,63
28,08	41,86
28,10	41,53
28,13	41,75
28,15	41,43
28,18	41,56
28,20	41,28
28,22	41,51
28,25	41,19
28,27	41,32
28,30	40,98
28,32	41,12
28,35	40,84
28,37	40,98
28,40	40,65
28,42	40,73
28,44	40,40
28,47	40,46
28,49	40,16
28,52	40,24
28,54	39,93
28,57	39,92
28,59	39,66
28,62	39,71
28,64	39,52
28,66	39,58
28,69	39,35
28,71	39,32
28,74	39,10
28,76	39,06
28,79	38,92
28,81	38,85
28,84	38,68
28,86	38,57
28,88	38,39
28,91	38,31
28,93	38,26
28,96	38,18
28,98	38,15
29,01	37,99
29,03	37,89
29,05	37,75
29,08	37,80
29,10	37,66
29,13	37,66
29,15	37,39
29,18	37,39
29,20	37,22
29,23	37,34
29,25	37,14
29,27	37,20
29,30	36,90
29,32	37,06
29,35	36,83
29,37	37,03
29,40	36,81
29,42	36,92
29,45	36,62
29,47	36,81
29,49	36,53
29,52	36,79
29,54	36,52
29,57	36,69
29,59	36,39
29,62	36,65
29,64	36,37
29,67	36,60
29,69	36,32
29,71	36,53
29,74	36,24
29,76	36,53
29,79	36,27
29,81	36,52
29,84	36,28
29,86	36,53
29,89	36,27
29,91	36,59
29,93	36,37
29,96	36,59
29,98	36,38
30,01	36,62
30,03	36,44
30,06	36,77
30,08	36,62
30,10	36,81
30,13	36,67
30,15	36,94
30,18	36,90
30,20	37,17
30,23	37,10
30,25	37,27
30,28	37,20
30,30	37,42
30,32	37,44
30,35	37,64
30,37	37,63
30,40	37,75
30,42	37,77
30,45	37,98
30,47	38,16
30,50	38,34
30,52	38,48
30,54	38,61
30,57	38,73
30,59	38,89
30,62	39,12
30,64	39,22
30,67	39,47
30,69	39,47
30,72	39,64
30,74	39,74
30,76	40,06
30,79	40,13
30,81	40,43
30,84	40,40
30,86	40,75
30,89	40,85
30,91	41,26
30,94	41,38
30,96	41,77
30,98	41,79
31,01	42,20
31,03	42,23
31,06	42,73
31,08	42,79
31,11	43,19
31,13	43,21
31,15	43,71
31,18	43,78
31,20	44,38
31,23	44,46
31,25	45,03
31,28	45,11
31,30	45,75
