,,,t,v
,,,-0.02164,1.6
,,,-0.0216,1.6
,,,-0.02156,1.6
,,,-0.02152,1.6
,,,-0.02148,1.6
,,,-0.02144,1.6
,,,-0.0214,1.6
,,,-0.02136,1.6
,,,-0.02132,1.6
,,,-0.02128,1.6
,,,-0.02124,1.6
,,,-0.0212,1.6
,,,-0.02116,1.6
,,,-0.02112,1.6
,,,-0.02108,1.6
,,,-0.02104,1.8
,,,-0.021,1.6
,,,-0.02096,1.8
,,,-0.02092,1.6
,,,-0.02088,1.8
,,,-0.02084,1.6
,,,-0.0208,1.8
,,,-0.02076,1.8
,,,-0.02072,1.8
,,,-0.02068,1.6
,,,-0.02064,1.8
,,,-0.0206,1.8
,,,-0.02056,1.8
,,,-0.02052,1.8
,,,-0.02048,1.8
,,,-0.02044,1.8
,,,-0.0204,1.8
,,,-0.02036,1.8
,,,-0.02032,1.8
,,,-0.02028,1.8
,,,-0.02024,1.8
,,,-0.0202,1.8
,,,-0.02016,1.8
,,,-0.02012,1.8
,,,-0.02008,1.8
,,,-0.02004,1.8
,,,-0.02,1.8
,,,-0.01996,1.8
,,,-0.01992,2
,,,-0.01988,2
,,,-0.01984,2
,,,-0.0198,1.8
,,,-0.01976,1.8
,,,-0.01972,2
,,,-0.01968,2
,,,-0.01964,1.8
,,,-0.0196,2
,,,-0.01956,2
,,,-0.01952,2
,,,-0.01948,2
,,,-0.01944,2
,,,-0.0194,1.8
,,,-0.01936,2
,,,-0.01932,2
,,,-0.01928,2
,,,-0.01924,2
,,,-0.0192,2
,,,-0.01916,2
,,,-0.01912,2
,,,-0.01908,1.8
,,,-0.01904,2
,,,-0.019,2
,,,-0.01896,2
,,,-0.01892,2
,,,-0.01888,2
,,,-0.01884,2
,,,-0.0188,2.2
,,,-0.01876,2
,,,-0.01872,2
,,,-0.01868,2
,,,-0.01864,2
,,,-0.0186,2.2
,,,-0.01856,2
,,,-0.01852,2
,,,-0.01848,2.2
,,,-0.01844,2.2
,,,-0.0184,2.2
,,,-0.01836,2.2
,,,-0.01832,2.2
,,,-0.01828,2.2
,,,-0.01824,2.2
,,,-0.0182,2
,,,-0.01816,2
,,,-0.01812,2.2
,,,-0.01808,2.2
,,,-0.01804,2.2
,,,-0.018,2.2
,,,-0.01796,2.2
,,,-0.01792,2.2
,,,-0.01788,2.2
,,,-0.01784,2.2
,,,-0.0178,2.2
,,,-0.01776,2.2
,,,-0.01772,2.2
,,,-0.01768,2.2
,,,-0.01764,2.2
,,,-0.0176,2.2
,,,-0.01756,2.2
,,,-0.01752,2.2
,,,-0.01748,2.2
,,,-0.01744,2.2
,,,-0.0174,2.2
,,,-0.01736,2.2
,,,-0.01732,2.2
,,,-0.01728,2.2
,,,-0.01724,2.2
,,,-0.0172,2.4
,,,-0.01716,2.4
,,,-0.01712,2.4
,,,-0.01708,2.4
,,,-0.01704,2.2
,,,-0.017,2.4
,,,-0.01696,2.4
,,,-0.01692,2.4
,,,-0.01688,2.4
,,,-0.01684,2.4
,,,-0.0168,2.4
,,,-0.01676,2.4
,,,-0.01672,2.4
,,,-0.01668,2.4
,,,-0.01664,2.4
,,,-0.0166,2.4
,,,-0.01656,2.4
,,,-0.01652,2.4
,,,-0.01648,2.4
,,,-0.01644,2.4
,,,-0.0164,2.6
,,,-0.01636,2.6
,,,-0.01632,2.4
,,,-0.01628,2.6
,,,-0.01624,2.4
,,,-0.0162,2.4
,,,-0.01616,2.6
,,,-0.01612,2.4
,,,-0.01608,2.4
,,,-0.01604,2.6
,,,-0.016,2.6
,,,-0.01596,2.6
,,,-0.01592,2.6
,,,-0.01588,2.6
,,,-0.01584,2.6
,,,-0.0158,2.6
,,,-0.01576,2.6
,,,-0.01572,2.6
,,,-0.01568,2.6
,,,-0.01564,2.6
,,,-0.0156,2.6
,,,-0.01556,2.6
,,,-0.01552,2.6
,,,-0.01548,2.6
,,,-0.01544,2.6
,,,-0.0154,2.6
,,,-0.01536,2.6
,,,-0.01532,2.6
,,,-0.01528,2.6
,,,-0.01524,2.6
,,,-0.0152,2.6
,,,-0.01516,2.8
,,,-0.01512,2.8
,,,-0.01508,2.6
,,,-0.01504,2.6
,,,-0.015,2.6
,,,-0.01496,2.8
,,,-0.01492,2.8
,,,-0.01488,2.8
,,,-0.01484,2.8
,,,-0.0148,2.8
,,,-0.01476,2.8
,,,-0.01472,2.6
,,,-0.01468,2.6
,,,-0.01464,2.8
,,,-0.0146,2.8
,,,-0.01456,2.8
,,,-0.01452,2.8
,,,-0.01448,2.8
,,,-0.01444,2.8
,,,-0.0144,2.8
,,,-0.01436,2.8
,,,-0.01432,2.8
,,,-0.01428,2.8
,,,-0.01424,2.8
,,,-0.0142,2.8
,,,-0.01416,2.8
,,,-0.01412,2.8
,,,-0.01408,2.8
,,,-0.01404,2.8
,,,-0.014,3
,,,-0.01396,2.8
,,,-0.01392,2.8
,,,-0.01388,3
,,,-0.01384,2.8
,,,-0.0138,2.8
,,,-0.01376,2.8
,,,-0.01372,2.8
,,,-0.01368,2.8
,,,-0.01364,2.8
,,,-0.0136,2.8
,,,-0.01356,2.8
,,,-0.01352,3
,,,-0.01348,2.8
,,,-0.01344,3
,,,-0.0134,3
,,,-0.01336,3
,,,-0.01332,3
,,,-0.01328,3
,,,-0.01324,3
,,,-0.0132,2.8
,,,-0.01316,3
,,,-0.01312,3
,,,-0.01308,3
,,,-0.01304,3
,,,-0.013,3
,,,-0.01296,3
,,,-0.01292,3
,,,-0.01288,3
,,,-0.01284,3
,,,-0.0128,3
,,,-0.01276,3
,,,-0.01272,3
,,,-0.01268,3
,,,-0.01264,3
,,,-0.0126,3
,,,-0.01256,3
,,,-0.01252,3
,,,-0.01248,3.2
,,,-0.01244,3
,,,-0.0124,3
,,,-0.01236,3
,,,-0.01232,3
,,,-0.01228,3
,,,-0.01224,3
,,,-0.0122,3
,,,-0.01216,3
,,,-0.01212,3
,,,-0.01208,3.2
,,,-0.01204,3
,,,-0.012,3.2
,,,-0.01196,3.2
,,,-0.01192,3
,,,-0.01188,3.2
,,,-0.01184,3.2
,,,-0.0118,3.2
,,,-0.01176,3.2
,,,-0.01172,3.2
,,,-0.01168,3.4
,,,-0.01164,3.2
,,,-0.0116,3.2
,,,-0.01156,3.2
,,,-0.01152,3.2
,,,-0.01148,3.2
,,,-0.01144,3.2
,,,-0.0114,3.4
,,,-0.01136,3.2
,,,-0.01132,3.2
,,,-0.01128,3.2
,,,-0.01124,3.4
,,,-0.0112,3.2
,,,-0.01116,3.4
,,,-0.01112,3.2
,,,-0.01108,3.4
,,,-0.01104,3.4
,,,-0.011,3.2
,,,-0.01096,3.4
,,,-0.01092,3.4
,,,-0.01088,3.4
,,,-0.01084,3.2
,,,-0.0108,3.4
,,,-0.01076,3.4
,,,-0.01072,3.4
,,,-0.01068,3.4
,,,-0.01064,3.4
,,,-0.0106,3.4
,,,-0.01056,3.4
,,,-0.01052,3.4
,,,-0.01048,3.4
,,,-0.01044,3.4
,,,-0.0104,3.4
,,,-0.01036,3.4
,,,-0.01032,3.4
,,,-0.01028,3.4
,,,-0.01024,3.4
,,,-0.0102,3.4
,,,-0.01016,3.4
,,,-0.01012,3.6
,,,-0.01008,3.4
,,,-0.01004,3.4
,,,-0.01,3.6
,,,-0.00996,3.6
,,,-0.00992,3.4
,,,-0.00988,3.4
,,,-0.00984,3.6
,,,-0.0098,3.4
,,,-0.00976,3.4
,,,-0.00972,3.6
,,,-0.00968,3.4
,,,-0.00964,3.6
,,,-0.0096,3.6
,,,-0.00956,3.6
,,,-0.00952,3.6
,,,-0.00948,3.6
,,,-0.00944,3.6
,,,-0.0094,3.6
,,,-0.00936,3.6
,,,-0.00932,3.6
,,,-0.00928,3.6
,,,-0.00924,3.6
,,,-0.0092,3.6
,,,-0.00916,3.6
,,,-0.00912,3.6
,,,-0.00908,3.6
,,,-0.00904,3.6
,,,-0.009,3.6
,,,-0.00896,3.6
,,,-0.00892,3.8
,,,-0.00888,3.6
,,,-0.00884,3.6
,,,-0.0088,3.8
,,,-0.00876,3.6
,,,-0.00872,3.8
,,,-0.00868,3.8
,,,-0.00864,3.8
,,,-0.0086,3.6
,,,-0.00856,3.8
,,,-0.00852,3.8
,,,-0.00848,3.8
,,,-0.00844,3.8
,,,-0.0084,3.8
,,,-0.00836,3.8
,,,-0.00832,3.8
,,,-0.00828,3.8
,,,-0.00824,3.8
,,,-0.0082,3.8
,,,-0.00816,3.8
,,,-0.00812,3.8
,,,-0.00808,3.8
,,,-0.00804,3.8
,,,-0.008,3.8
,,,-0.00796,3.8
,,,-0.00792,3.8
,,,-0.00788,3.8
,,,-0.00784,3.8
,,,-0.0078,3.8
,,,-0.00776,3.8
,,,-0.00772,3.8
,,,-0.00768,4
,,,-0.00764,3.8
,,,-0.0076,4
,,,-0.00756,4
,,,-0.00752,3.8
,,,-0.00748,4
,,,-0.00744,4
,,,-0.0074,4
,,,-0.00736,4
,,,-0.00732,3.8
,,,-0.00728,3.8
,,,-0.00724,3.8
,,,-0.0072,4
,,,-0.00716,3.8
,,,-0.00712,4
,,,-0.00708,4
,,,-0.00704,4
,,,-0.007,4
,,,-0.00696,4
,,,-0.00692,4
,,,-0.00688,4
,,,-0.00684,4
,,,-0.0068,4
,,,-0.00676,4
,,,-0.00672,4
,,,-0.00668,4.2
,,,-0.00664,4
,,,-0.0066,4
,,,-0.00656,4
,,,-0.00652,4
,,,-0.00648,4
,,,-0.00644,4
,,,-0.0064,4
,,,-0.00636,4
,,,-0.00632,4
,,,-0.00628,4
,,,-0.00624,4
,,,-0.0062,4.2
,,,-0.00616,4.2
,,,-0.00612,4
,,,-0.00608,4.2
,,,-0.00604,4.2
,,,-0.006,4.2
,,,-0.00596,4.2
,,,-0.00592,4.2
,,,-0.00588,4.2
,,,-0.00584,4.2
,,,-0.0058,4
,,,-0.00576,4.2
,,,-0.00572,4.2
,,,-0.00568,4.2
,,,-0.00564,4.2
,,,-0.0056,4.2
,,,-0.00556,4.2
,,,-0.00552,4.2
,,,-0.00548,4.2
,,,-0.00544,4.2
,,,-0.0054,4.2
,,,-0.00536,4.2
,,,-0.00532,4.2
,,,-0.00528,4.2
,,,-0.00524,4.2
,,,-0.0052,4.4
,,,-0.00516,4.2
,,,-0.00512,4.2
,,,-0.00508,4.4
,,,-0.00504,4.2
,,,-0.005,4.4
,,,-0.00496,4.2
,,,-0.00492,4.4
,,,-0.00488,4.4
,,,-0.00484,4.4
,,,-0.0048,4.4
,,,-0.00476,4.4
,,,-0.00472,4.4
,,,-0.00468,4.4
,,,-0.00464,4.4
